folder,volume_m3,slope_deg,potential_energy_MJ,plastic_energy_MJ_front,plastic_energy_MJ_rear,sleout_energy_max_J,impact_duration_s,rcforce_force_max_N,rcforce_impulse_Ns
251210_new_batch\batch_15\N041_V1212_PE1213_48deg,1212,48,1213,247.6616030354905,176.97176471763194,7621000.0,3.9249989986,20339564.00520833,2172948.990559334
251210_new_batch\batch_15\N042_V3461_PE3967_60deg,3461,60,3967,748.2803019101675,405.70194360554086,17830000.0,4.3149988651,19051757.33333333,5341328.912775005
251210_new_batch\batch_15\N044_V1807_PE1822_48deg,1807,48,1822,442.7626698714177,337.3076995805848,12990000.0,3.6010000706,21781968.5625,3022986.480612846
251210_new_batch\batch_15\N045_V1371_PE1562_60deg,1371,60,1562,521.0953536418338,229.28001313542487,11180000.0,3.3179991245,15210112.0,2150285.620265839
251210_new_batch\batch_15\N046_V3627_PE3048_38deg,3627,38,3048,776.7190555752061,711.7316053950732,28640000.0,5.1439993382,25874563.666666664,6030922.236394763
251210_new_batch\batch_15\N047_V4746_PE4625_46deg,4746,46,4625,765.3676888114661,706.5331232146184,24630000.0,4.1700010299,21428766.666666664,5698161.570688663
251210_new_batch\batch_15\N048_V3628_PE4220_60deg,3628,60,4220,773.7292678138252,506.6634448644641,19260000.0,4.5290007591,20361107.682291668,5155600.344730677
251210_new_batch\batch_15\N049_V4587_PE5037_55deg,4587,55,5037,770.9925879304074,505.8696819721223,19490000.0,4.292999029200001,22506627.5,5182119.396503678
251210_new_batch\batch_16\N000_V1254_PE1273_49deg,1254,49,1273,418.7190760862305,142.8634463433741,9362000.0,3.3520011902,19283621.833333336,1836953.577718866
251210_new_batch\batch_16\N001_V2232_PE2387_53deg,2232,53,2387,344.5642220921379,427.1831017786977,14390000.0,4.0510010719,18790001.666666664,3599810.779038276
251210_new_batch\batch_16\N002_V3482_PE2880_37deg,3482,37,2880,693.9973100597151,693.4580897234615,21760000.0,4.387001037599999,20259506.77083333,5316596.04367903
251210_new_batch\batch_16\N003_V2520_PE1748_30deg,2520,30,1748,237.72064177425736,204.4940192814687,8282000.0,5.611999988600001,25984398.666666664,3250674.9628877053
251210_new_batch\batch_16\N004_V3194_PE2560_36deg,3194,36,2560,725.5572143480991,561.4095361634908,20510000.0,5.188999176000001,24368241.649739664,4544137.028706673
251210_new_batch\batch_16\N005_V1517_PE1564_49deg,1517,49,1564,363.7723666979405,318.492776408063,11550000.0,3.2369999886,22349753.33333333,2795163.407311771
251210_new_batch\batch_16\N006_V3003_PE2675_41deg,3003,41,2675,737.3292645777116,506.3650632907279,20370000.0,5.048997879,17271653.0,4536583.104936367
251210_new_batch\batch_16\N007_V2759_PE2805_49deg,2759,49,2805,746.5506741406499,530.0125581128013,18870000.0,4.077998876600001,17377191.0,5026446.937925009
251210_new_batch\batch_16\N008_V3045_PE3288_54deg,3045,54,3288,770.1088577199858,579.1705386425213,19500000.0,4.3140013218,19554721.33333333,4901698.527418055
251210_new_batch\batch_16\N009_V5305_PE4911_43deg,5305,43,4911,772.0027216793259,689.8572591995977,23310000.0,4.4160010815,20480517.95833333,6981062.354328985
251210_new_batch\batch_16\N010_V1417_PE1595_59deg,1417,59,1595,428.199910847184,239.27498084743303,13360000.0,3.8610010147,13473369.333333332,3207189.162982583
251210_new_batch\batch_16\N013_V741_PE776_51deg,741,51,776,170.87990742428562,75.21484331675032,5405000.0,3.7939987182,17157258.097657,1284299.7221563496
251210_new_batch\batch_16\N014_V3165_PE2615_37deg,3165,37,2615,762.051004759365,666.6266481181001,22120000.0,4.4369981289,20055073.33333333,5159615.088731399
251210_new_batch\batch_16\N015_V4710_PE4722_48deg,4710,48,4722,776.8163945730118,669.9255760471538,24650000.0,4.4289991856,16918032.0,6474498.461589806
251210_new_batch\batch_16\N017_V2404_PE2625_54deg,2404,54,2625,744.0032248652798,333.3698627170888,16640000.0,4.1150000096,17028548.125,4307720.1347408565
251210_new_batch\batch_16\N018_V1439_PE1350_44deg,1439,44,1350,271.6764289300538,206.0479710830145,8825000.0,4.8649997711,24565898.666666664,2647975.0460050404
251210_new_batch\batch_16\N019_V3033_PE2908_45deg,3033,45,2908,779.5441160398727,661.787057475999,23120000.0,4.454999923700001,18039028.95833333,5713135.487907917
251210_new_batch\batch_16\N020_V1386_PE1356_46deg,1386,46,1356,229.0848911535465,175.58125318450644,7893000.0,2.8699989319000005,25653589.08333333,2011400.5987990007
251210_new_batch\batch_16\N021_V1387_PE1436_50deg,1387,50,1436,278.5081278248475,307.9840808687576,11720000.0,4.3609991073,18294444.916666668,2368735.937020275
251210_new_batch\batch_16\N022_V3508_PE3770_53deg,3508,53,3770,772.3499503709338,638.5203496518254,22600000.0,4.145001173,19936036.166666664,5473385.821162324
251210_new_batch\batch_16\N023_V1394_PE1292_43deg,1394,43,1292,301.5211687635694,118.62970860569986,7024000.0,4.596999883700001,21367448.0,2178824.894682629
251210_new_batch\batch_16\N024_V4389_PE4820_55deg,4389,55,4820,764.756032949625,525.5215273653932,19120000.0,4.4799997807,21190574.666666664,5161930.547863045
251210_new_batch\batch_16\N025_V3065_PE2774_42deg,3065,42,2774,758.0695645251408,473.734779216454,18700000.0,4.0880002975,28094570.666666664,4603470.671700494
251210_new_batch\batch_16\N026_V3545_PE3572_48deg,3545,48,3572,773.8161947956636,687.5583407634884,23830000.0,4.4670000076,21391008.166666664,5498108.357059637
251210_new_batch\batch_16\N027_V2304_PE2011_40deg,2304,40,2011,322.9702231634936,391.0862046350924,12820000.0,4.4119999409,26875564.729166664,3307603.1581499223
251210_new_batch\batch_16\N028_V1390_PE1424_49deg,1390,49,1424,312.67812550575366,147.602034734741,8968000.0,3.4710021019,19193191.666666664,2347976.5820145523
251210_new_batch\batch_16\N029_V4541_PE3403_33deg,4541,33,3403,780.1146279629592,683.1888063025053,24890000.0,5.0229997634,20281625.0,6726081.98525146
251210_new_batch\batch_16\N030_V3532_PE3601_49deg,3532,49,3601,775.4340567257667,711.0500358739391,22950000.0,4.166000843000001,27352764.166666668,5428884.237324556
251210_new_batch\batch_16\N031_V1428_PE1441_49deg,1428,49,1441,219.8915314655358,174.38489643382243,8441000.0,4.776000976600001,22578401.901039995,2200926.2554459367
251210_new_batch\batch_16\N032_V1485_PE1447_46deg,1485,46,1447,265.0715936604824,219.2644763718082,8666000.0,4.490000009499999,16515019.395833332,2075163.2072376967
